id,company_name,ticker,sector_group,industry_group,rating_seed,rating_source,index_memberships
413,Charles Schwab Corporation,SCHW,Financials,Investment Banking & Brokerage,A bucket,demo_bucket_to_refresh,S&P 500
414,Shopify,SHOP,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100
415,Sherwin-Williams,SHW,Materials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Dow; S&P 500
416,J.M. Smucker Company (The),SJM,Consumer Staples,Packaged Foods & Meats,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
417,Schlumberger,SLB,Energy,Oil & Gas Equipment & Services,A / BBB bucket,demo_bucket_to_refresh,S&P 500
418,Supermicro,SMCI,Technology,"Technology Hardware, Storage & Peripherals",NR shown,screenshot,S&P 500
419,Snap-on,SNA,Industrials,Industrial Machinery & Supplies & Components,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
420,Sandisk,SNDK,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
421,Synopsys,SNPS,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
422,Southern Company,SO,Utilities,Electric Utilities,BBB+ bucket,demo_bucket_to_refresh,S&P 500
423,Solventum,SOLV,Healthcare,Health Care Technology,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
424,Simon Property Group,SPG,Real Estate,Retail REITs,A / BBB bucket,demo_bucket_to_refresh,S&P 500
425,S&P Global,SPGI,Financials,Financial Exchanges & Data,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
426,Sempra,SRE,Utilities,Multi-Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
427,Steris,STE,Healthcare,Health Care Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
428,Steel Dynamics,STLD,Materials,Steel,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
429,State Street Corporation,STT,Financials,Asset Management & Custody Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
430,Seagate Technology,STX,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
431,Constellation Brands,STZ,Consumer Staples,Distillers & Vintners,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
432,Smurfit Westrock,SW,Materials,Paper & Plastic Packaging Products & Materials,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
433,Stanley Black & Decker,SWK,Industrials,Industrial Machinery & Supplies & Components,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
434,Skyworks Solutions,SWKS,Technology,Semiconductors,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
435,Synchrony Financial,SYF,Financials,Consumer Finance,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
436,Stryker Corporation,SYK,Healthcare,Health Care Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
437,Sysco,SYY,Consumer Staples,Food Distributors,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
438,AT&T,T,Technology & Communications,Integrated Telecommunication Services,BBB shown,screenshot,S&P 500
439,Molson Coors Beverage Company,TAP,Consumer Staples,Brewers,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
440,TransDigm Group,TDG,Aerospace & Defense,Aerospace & Defense,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
441,Teledyne Technologies,TDY,Technology,Electronic Equipment & Instruments,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
442,Bio-Techne,TECH,Healthcare,Life Sciences Tools & Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
443,TE Connectivity,TEL,Technology,Electronic Manufacturing Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
444,Teradyne,TER,Technology,Semiconductor Materials & Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
445,Truist Financial,TFC,Financials,Diversified Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
446,Target Corporation,TGT,Consumer Staples,Consumer Staples Merchandise Retail,A / BBB bucket,demo_bucket_to_refresh,S&P 500
447,TJX Companies,TJX,Consumer Discretionary,Apparel Retail,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
448,TKO Group Holdings,TKO,Communication Services,Movies & Entertainment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
449,Thermo Fisher Scientific,TMO,Healthcare,Life Sciences Tools & Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
450,T-Mobile US,TMUS,Industrials,,BBB bucket,demo_bucket_to_refresh,Nasdaq 100; S&P 500
451,Texas Pacific Land Corporation,TPL,Energy,Oil & Gas Exploration & Production,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
452,"Tapestry, Inc.",TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
453,Targa Resources,TRGP,Energy,Oil & Gas Storage & Transportation,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
454,Thomson Reuters,TRI,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100
455,Trimble Inc.,TRMB,Technology,Application Software,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
456,T. Rowe Price,TROW,Financials,Asset Management & Custody Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
457,"Travelers Companies, Inc.",TRV,Financials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Dow; S&P 500
458,Tractor Supply,TSCO,Consumer Discretionary,Other Specialty Retail,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
459,"Tesla, Inc.",TSLA,Industrials,,BBB / BB bucket,demo_bucket_to_refresh,Nasdaq 100; S&P 500
460,Tyson Foods,TSN,Consumer Staples,Packaged Foods & Meats,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
461,Trane Technologies,TT,Industrials,Building Products,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
462,Trade Desk (The),TTD,Communication Services,Advertising,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
463,Take-Two Interactive,TTWO,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
464,Texas Instruments,TXN,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
465,Textron,TXT,Aerospace & Defense,Aerospace & Defense,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
466,Tyler Technologies,TYL,Technology,Application Software,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
467,United Airlines Holdings,UAL,Transportation,Passenger Airlines,BB bucket,demo_bucket_to_refresh,S&P 500
468,Uber,UBER,Transportation,Passenger Ground Transportation,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
469,"UDR, Inc.",UDR,Real Estate,Multi-Family Residential REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
470,Universal Health Services,UHS,Healthcare,Health Care Facilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
471,Ulta Beauty,ULTA,Consumer Discretionary,Other Specialty Retail,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
472,UnitedHealth Group,UNH,Healthcare,,A bucket,demo_bucket_to_refresh,Dow; S&P 500
473,Union Pacific Corporation,UNP,Transportation,Rail Transportation,A bucket,demo_bucket_to_refresh,S&P 500
474,United Parcel Service,UPS,Transportation,Air Freight & Logistics,A bucket,demo_bucket_to_refresh,S&P 500
475,United Rentals,URI,Industrials,Trading Companies & Distributors,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
476,U.S. Bancorp,USB,Financials,Diversified Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
477,Visa,V,Financials,,AA- shown,screenshot,Dow; S&P 500
478,Veeva Systems,VEEV,Healthcare,Health Care Technology,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
479,Vici Properties,VICI,Real Estate,Hotel & Resort REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
480,Valero Energy,VLO,Energy,Oil & Gas Refining & Marketing,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
481,Veralto,VLTO,Industrials,Environmental & Facilities Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
482,Vulcan Materials Company,VMC,Materials,Construction Materials,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
483,Verisk Analytics,VRSK,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
484,Verisign,VRSN,Technology,Internet Services & Infrastructure,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
485,Vertiv,VRT,Industrials,Electrical Components & Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
486,Vertex Pharmaceuticals,VRTX,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
487,Vistra Corp.,VST,Utilities,Electric Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
488,Ventas,VTR,Real Estate,Health Care REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
489,Viatris,VTRS,Healthcare,Pharmaceuticals,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
490,Verizon,VZ,Communication Services,,BBB+ / A- bucket,demo_bucket_to_refresh,Dow; S&P 500
491,Wabtec,WAB,Industrials,Construction Machinery & Heavy Transportation Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
492,Waters Corporation,WAT,Healthcare,Life Sciences Tools & Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
493,Warner Bros. Discovery,WBD,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
494,"Workday, Inc.",WDAY,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
495,Western Digital,WDC,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
496,WEC Energy Group,WEC,Utilities,Electric Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
497,Welltower,WELL,Real Estate,Health Care REITs,BBB+ shown,screenshot,S&P 500
498,Wells Fargo,WFC,Financials,Diversified Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
499,Waste Management,WM,Industrials,Environmental & Facilities Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
500,Williams Companies,WMB,Energy,Oil & Gas Storage & Transportation,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
501,Walmart,WMT,Consumer Staples,,AA / A bucket,demo_bucket_to_refresh,Dow; Nasdaq 100; S&P 500
502,W. R. Berkley Corporation,WRB,Financials,Property & Casualty Insurance,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
503,"Williams-Sonoma, Inc.",WSM,Consumer Discretionary,Homefurnishing Retail,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
504,West Pharmaceutical Services,WST,Healthcare,Health Care Supplies,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
505,Willis Towers Watson,WTW,Financials,Insurance Brokers,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
506,Weyerhaeuser,WY,Real Estate,Timber REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
507,Wynn Resorts,WYNN,Consumer Discretionary,Casinos & Gaming,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
508,Xcel Energy,XEL,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
509,ExxonMobil,XOM,Energy,Integrated Oil & Gas,AA bucket,demo_bucket_to_refresh,S&P 500
510,Xylem Inc.,XYL,Industrials,Industrial Machinery & Supplies & Components,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
511,"Block, Inc.",XYZ,Financials,Transaction & Payment Processing Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
512,Yum! Brands,YUM,Consumer Discretionary,Restaurants,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
513,Zimmer Biomet,ZBH,Healthcare,Health Care Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
514,Zebra Technologies,ZBRA,Technology,Electronic Equipment & Instruments,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
515,Zscaler,ZS,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100
516,Zoetis,ZTS,Healthcare,Pharmaceuticals,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
